Running brilcalc
brilcalc lumi -b STABLE BEAMS --normtag /cms/ldap_home/jhgoh/.lumiCalc/Normtags/normtag_PHYSICS.json -i ../LumiJSON/Cert_271036-284044_13TeV_23Sep2016ReReco_Collisions16_JSON_MuonPhys.txt -u /pb -c /cvmfs/cms.cern.ch/SITECONF/local/JobConfig/site-local-config.xml
#Data tag : 19v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 277991:5151 | 08/01/16 15:45:06 | 85   | 85   | 5.004068916    | 4.753756131   |
| 277992:5151 | 08/01/16 16:23:35 | 312  | 312  | 17.881621188   | 16.993111780  |
| 278017:5154 | 08/01/16 23:26:43 | 513  | 513  | 132.610591910  | 125.532225849 |
| 278018:5154 | 08/02/16 02:52:01 | 1157 | 1157 | 224.968337071  | 214.245099849 |
| 278167:5161 | 08/03/16 18:39:02 | 2168 | 2168 | 328.295179317  | 314.656584898 |
| 278175:5161 | 08/04/16 08:44:58 | 88   | 88   | 9.277254223    | 9.044695188   |
| 278193:5162 | 08/04/16 12:31:44 | 155  | 155  | 36.343378614   | 34.581050615  |
| 278239:5163 | 08/04/16 23:23:01 | 663  | 663  | 141.693118184  | 133.159929721 |
| 278240:5163 | 08/05/16 03:46:54 | 1306 | 1306 | 206.154597260  | 197.912778136 |
| 278273:5169 | 08/05/16 17:37:20 | 36   | 36   | 7.176788452    | 5.851969399   |
| 278274:5169 | 08/05/16 17:55:42 | 84   | 84   | 19.333201977   | 18.018314573  |
| 278288:5170 | 08/05/16 21:11:12 | 15   | 15   | 3.737593326    | 2.873670759   |
| 278289:5170 | 08/05/16 21:18:02 | 51   | 51   | 11.211637600   | 9.658789405   |
| 278290:5170 | 08/05/16 21:42:34 | 11   | 11   | 2.614348876    | 2.421569360   |
| 278308:5173 | 08/06/16 13:00:39 | 1785 | 1785 | 335.904693700  | 319.902058910 |
| 278309:5173 | 08/07/16 00:39:30 | 10   | 10   | 1.414352396    | 1.330173109   |
| 278310:5173 | 08/07/16 00:47:36 | 708  | 708  | 91.337284006   | 88.422333087  |
| 278315:5179 | 08/07/16 10:56:52 | 695  | 695  | 150.063136842  | 137.851833358 |
| 278345:5181 | 08/08/16 00:13:39 | 748  | 748  | 163.769778056  | 150.524403036 |
| 278346:5181 | 08/08/16 05:08:15 | 117  | 117  | 22.192686224   | 21.125789324  |
| 278349:5181 | 08/08/16 06:27:06 | 631  | 631  | 101.752946718  | 97.144421365  |
| 278366:5181 | 08/08/16 10:36:47 | 453  | 453  | 61.593322825   | 59.422848205  |
| 278406:5183 | 08/08/16 17:15:50 | 1598 | 1598 | 313.178063003  | 297.186917394 |
| 278509:5187 | 08/09/16 18:29:15 | 1467 | 1467 | 294.742005862  | 273.441766188 |
| 278769:5197 | 08/13/16 06:38:56 | 30   | 30   | 7.798842443    | 7.207544994   |
| 278770:5197 | 08/13/16 06:54:00 | 767  | 767  | 170.946489212  | 163.785042965 |
| 278801:5198 | 08/13/16 14:43:37 | 38   | 38   | 10.118393415   | 7.802784234   |
| 278802:5198 | 08/13/16 15:01:05 | 17   | 17   | 4.030710208    | 1.706479842   |
| 278803:5198 | 08/13/16 15:10:53 | 318  | 318  | 77.296182679   | 71.465332115  |
| 278804:5198 | 08/13/16 17:20:06 | 4    | 4    | 0.911346685    | 0.747048857   |
